Name,Email,Created at,Total,Refunded Amount,Currency,Financial Status,Lineitem name,Lineitem quantity
#1001,customer1@example.com,2025-01-15 17:41:00 -0500,183.50,0.00,USD,paid,Deluxe Bundle,1
#1001,,,,,,,Blue Widget,1
#1001,,,,,,,Red Gadget,1
#1002,customer2@example.com,2025-01-10 10:06:00 -0500,89.00,0.00,USD,paid,Refill Pack,1
#1002,,,,,,,Red Gadget,1
#1002,,,,,,,Blue Widget,1
#1003,customer3@example.com,2025-01-04 11:38:00 -0500,39.00,0.00,USD,paid,Deluxe Bundle,1
#1004,customer4@example.com,2025-01-01 13:33:00 -0500,240.00,0.00,USD,paid,Refill Pack,1
#1004,,,,,,,Red Gadget,1
#1005,customer5@example.com,2025-01-04 16:17:00 -0500,59.00,0.00,USD,paid,Blue Widget,1
#1006,customer6@example.com,2025-01-09 14:43:00 -0500,209.00,0.00,USD,paid,Deluxe Bundle,1
#1006,,,,,,,Blue Widget,1
#1007,customer7@example.com,2025-01-27 10:48:00 -0500,59.00,29.50,USD,paid,Blue Widget,1
#1008,customer8@example.com,2025-01-15 17:25:00 -0500,118.00,0.00,USD,paid,Deluxe Bundle,1
#1008,,,,,,,Blue Widget,1
#1009,customer9@example.com,2025-01-05 14:31:00 -0500,172.50,0.00,USD,paid,Green Doohickey,1
#1009,,,,,,,Red Gadget,1
#1009,,,,,,,Red Gadget,1
#1010,customer10@example.com,2025-01-23 13:05:00 -0500,233.50,0.00,USD,paid,Deluxe Bundle,1
#1010,,,,,,,Blue Widget,1
#1010,,,,,,,Starter Kit,1
#1011,customer3@example.com,2025-02-04 12:04:00 -0500,172.50,0.00,USD,paid,Starter Kit,1
#1011,,,,,,,Blue Widget,1
#1011,,,,,,,Deluxe Bundle,1
#1012,customer4@example.com,2025-02-26 17:36:00 -0500,178.00,0.00,USD,paid,Green Doohickey,1
#1012,,,,,,,Red Gadget,1
#1013,customer5@example.com,2025-02-27 14:13:00 -0500,78.50,0.00,USD,paid,Starter Kit,1
#1013,,,,,,,Red Gadget,1
#1013,,,,,,,Deluxe Bundle,1
#1014,customer6@example.com,2025-02-21 17:10:00 -0500,39.00,0.00,USD,paid,Red Gadget,1
#1015,customer8@example.com,2025-02-02 09:20:00 -0500,120.00,0.00,USD,paid,Blue Widget,1
#1016,customer10@example.com,2025-02-22 11:22:00 -0500,179.00,0.00,USD,paid,Starter Kit,1
#1016,,,,,,,Starter Kit,1
#1017,customer11@example.com,2025-02-22 17:23:00 -0500,24.50,0.00,USD,paid,Refill Pack,1
#1018,customer12@example.com,2025-02-23 16:51:00 -0500,59.00,29.50,USD,paid,Green Doohickey,1
#1019,customer13@example.com,2025-02-17 16:40:00 -0500,113.50,0.00,USD,paid,Starter Kit,1
#1019,,,,,,,Red Gadget,1
#1020,,2025-02-06 15:04:00 -0500,120.00,0.00,USD,paid,Blue Widget,1
#1021,customer15@example.com,2025-02-23 15:20:00 -0500,209.00,0.00,USD,paid,Green Doohickey,1
#1021,,,,,,,Starter Kit,1
#1022,customer16@example.com,2025-02-02 08:21:00 -0500,159.00,0.00,USD,paid,Starter Kit,1
#1022,,,,,,,Green Doohickey,1
#1023,customer17@example.com,2025-02-20 09:38:00 -0500,108.00,0.00,USD,paid,Refill Pack,1
#1023,,,,,,,Starter Kit,1
#1023,,,,,,,Refill Pack,1
#1024,customer18@example.com,2025-02-16 15:57:00 -0500,24.50,0.00,USD,paid,Deluxe Bundle,1
#1025,customer19@example.com,2025-02-17 09:15:00 -0500,118.00,0.00,USD,paid,Red Gadget,1
#1025,,,,,,,Green Doohickey,1
#1026,customer20@example.com,2025-02-23 08:51:00 -0500,194.00,0.00,USD,paid,Deluxe Bundle,1
#1026,,,,,,,Blue Widget,1
#1026,,,,,,,Deluxe Bundle,1
#1027,customer6@example.com,2025-03-18 17:02:00 -0500,89.00,0.00,USD,paid,Blue Widget,1
#1028,customer11@example.com,2025-03-06 14:35:00 -0500,135.00,0.00,USD,paid,Starter Kit,1
#1028,,,,,,,Refill Pack,1
#1029,customer12@example.com,2025-03-27 09:51:00 -0500,78.00,0.00,USD,paid,Blue Widget,1
#1029,,,,,,,Deluxe Bundle,1
#1030,customer13@example.com,2025-03-09 12:18:00 -0500,59.00,0.00,USD,paid,Red Gadget,1
#1031,customer15@example.com,2025-03-09 10:14:00 -0500,113.00,0.00,USD,paid,Red Gadget,1
#1031,,,,,,,Red Gadget,1
#1031,,,,,,,Refill Pack,1
#1032,customer18@example.com,2025-03-19 09:46:00 -0500,49.00,0.00,USD,paid,Starter Kit,1
#1032,,,,,,,Red Gadget,1
#1033,customer19@example.com,2025-03-27 11:38:00 -0500,118.00,0.00,USD,paid,Green Doohickey,1
#1033,,,,,,,Blue Widget,1
#1034,customer20@example.com,2025-03-16 11:11:00 -0500,268.00,0.00,USD,paid,Deluxe Bundle,1
#1034,,,,,,,Refill Pack,1
#1034,,,,,,,Refill Pack,1
#1035,customer21@example.com,2025-03-05 08:18:00 -0500,59.00,0.00,USD,paid,Blue Widget,1
#1036,customer22@example.com,2025-03-24 15:52:00 -0500,59.00,0.00,USD,paid,Refill Pack,1
#1037,customer23@example.com,2025-03-13 12:25:00 -0500,89.00,0.00,USD,paid,Starter Kit,1
#1038,customer24@example.com,2025-03-24 09:24:00 -0500,39.50,0.00,USD,paid,Red Gadget,1
#1038,,,,,,,Refill Pack,1
#1039,customer25@example.com,2025-03-03 11:18:00 -0500,174.00,0.00,USD,paid,Refill Pack,1
#1039,,,,,,,Green Doohickey,1
#1039,,,,,,,Green Doohickey,1
#1040,customer26@example.com,2025-03-27 11:03:00 -0500,224.00,0.00,USD,paid,Red Gadget,1
#1040,,,,,,,Refill Pack,1
#1040,,,,,,,Green Doohickey,1
#1041,customer27@example.com,2025-03-26 10:25:00 -0500,15.00,0.00,USD,paid,Refill Pack,1
#1042,customer28@example.com,2025-03-15 16:21:00 -0500,59.00,0.00,USD,paid,Blue Widget,1
#1043,,2025-03-06 11:17:00 -0500,24.50,0.00,USD,paid,Red Gadget,1
#1044,customer30@example.com,2025-03-26 12:50:00 -0500,159.00,0.00,USD,paid,Starter Kit,1
#1044,,,,,,,Refill Pack,1
#1045,customer8@example.com,2025-04-05 10:09:00 -0500,163.00,0.00,USD,paid,Red Gadget,1
#1045,,,,,,,Blue Widget,1
#1045,,,,,,,Red Gadget,1
#1046,customer11@example.com,2025-04-05 08:54:00 -0500,133.00,66.50,USD,paid,Refill Pack,1
#1046,,,,,,,Deluxe Bundle,1
#1046,,,,,,,Refill Pack,1
#1047,customer26@example.com,2025-04-18 11:57:00 -0500,74.00,0.00,USD,paid,Blue Widget,1
#1047,,,,,,,Refill Pack,1
#1048,customer27@example.com,2025-04-06 16:24:00 -0500,207.00,0.00,USD,paid,Red Gadget,1
#1048,,,,,,,Red Gadget,1
#1048,,,,,,,Starter Kit,1
#1049,customer28@example.com,2025-04-04 16:37:00 -0500,30.00,0.00,USD,paid,Deluxe Bundle,1
#1049,,,,,,,Blue Widget,1
#1050,customer31@example.com,2025-04-14 13:35:00 -0500,238.00,0.00,USD,paid,Deluxe Bundle,1
#1050,,,,,,,Green Doohickey,1
#1050,,,,,,,Red Gadget,1
#1051,customer32@example.com,2025-04-06 12:04:00 -0500,144.50,0.00,USD,paid,Red Gadget,1
#1051,,,,,,,Refill Pack,1
#1052,customer33@example.com,2025-04-21 13:16:00 -0500,209.00,0.00,USD,paid,Red Gadget,1
#1052,,,,,,,Refill Pack,1
#1053,customer34@example.com,2025-04-17 15:31:00 -0500,24.50,0.00,USD,paid,Refill Pack,1
#1054,customer35@example.com,2025-04-23 14:03:00 -0500,113.50,0.00,USD,paid,Deluxe Bundle,1
#1054,,,,,,,Refill Pack,1
#1055,customer36@example.com,2025-04-01 14:47:00 -0500,120.00,0.00,USD,paid,Red Gadget,1
#1056,customer37@example.com,2025-04-08 14:57:00 -0500,24.50,12.25,USD,paid,Starter Kit,1
#1057,customer38@example.com,2025-04-01 08:33:00 -0500,24.50,0.00,USD,paid,Green Doohickey,1
#1058,customer39@example.com,2025-04-23 16:28:00 -0500,120.00,0.00,USD,paid,Green Doohickey,1
#1059,customer40@example.com,2025-04-04 08:36:00 -0500,78.00,0.00,USD,paid,Refill Pack,1
#1059,,,,,,,Deluxe Bundle,1
#1060,customer2@example.com,2025-05-20 10:26:00 -0500,120.00,0.00,USD,paid,Green Doohickey,1
#1061,customer8@example.com,2025-05-11 10:54:00 -0500,157.00,0.00,USD,paid,Refill Pack,1
#1061,,,,,,,Refill Pack,1
#1061,,,,,,,Green Doohickey,1
#1062,customer10@example.com,2025-05-21 12:36:00 -0500,64.00,0.00,USD,paid,Starter Kit,1
#1062,,,,,,,Blue Widget,1
#1062,,,,,,,Blue Widget,1
#1063,customer15@example.com,2025-05-06 08:30:00 -0500,148.00,0.00,USD,paid,Blue Widget,1
#1063,,,,,,,Blue Widget,1
#1064,customer21@example.com,2025-05-04 16:12:00 -0500,83.50,0.00,USD,paid,Blue Widget,1
#1064,,,,,,,Green Doohickey,1
#1065,customer22@example.com,2025-05-03 16:47:00 -0500,299.00,0.00,USD,paid,Starter Kit,1
#1065,,,,,,,Blue Widget,1
#1065,,,,,,,Starter Kit,1
#1066,customer23@example.com,2025-05-19 16:54:00 -0500,120.00,0.00,USD,paid,Starter Kit,1
#1067,customer32@example.com,2025-05-03 16:17:00 -0500,39.00,0.00,USD,paid,Deluxe Bundle,1
#1068,customer34@example.com,2025-05-01 12:48:00 -0500,15.00,0.00,USD,paid,Blue Widget,1
